DAY,10:00-11:00,11:00-12:00,12:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00
Monday,M-III,CG,LUNCH,ADS,MP,CLUB HOUR,PRACT,PRACT
Tuesday,PPL,MP,LUNCH,M-III,CG,CLUB HOUR,M-III,ADS
Wednesday,CG,PPL,LUNCH,MP,ADS,CLUB HOUR,PRACT,PRACT
Thursday,ADS,M-III,LUNCH,CG,MP,CLUB HOUR,PPL,ADS
Friday,M-III,CG,LUNCH,ADS,ADS,CLUB HOUR,PRACT,PRACT
Saturday,SC,SC,LUNCH,SC,SC,CLUB HOUR,SC,SC
