DAY,10:00-11:00,11:00-12:00,12:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00
Monday,Ads/name,CG/name,LUNCH/ ,ADS/name,MP/name,CLUB HOUR/ ,PRACT/name,PRACT/name
Tuesday,PPL/name,MP/name,LUNCH/ ,M-III/name,CG/name,CLUB HOUR/ ,M-III/name,ADS/name
Wednesday,CG/name,PPL/name,LUNCH/ ,MP/name,ADS/name,CLUB HOUR/ ,PRACT/name,PRACT/name
Thursday,ADS/name,M-III/name,LUNCH/ ,CG/name,MP/name,CLUB HOUR/ ,PPL/name,ADS/name
Friday,M-III/name,CG/name,LUNCH/ ,ADS/name,ADS/name,CLUB HOUR/ ,PRACT/name,PRACT/name
Saturday,SC/name,SC/name,LUNCH/ ,SC/name,SC/name,CLUB HOUR/ ,SC/name,SC/name
